Count,Filename_0,Filename_1,Time_0,Time_1,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Dev1/ai0_scaled,Dev1/ai1_scaled,Dev1/ai2_scaled,Dev1/ai3_scaled,Dev1/ai4_scaled,Dev1/ai5_scaled,Dev1/ai6_scaled,Dev1/ai7_scaled
0,D:/These Thien/20220111 test_compare_vba_python/70\Test-0000_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0000_1.tif,130.7061,130.7061,-0.0271,-0.0300,-0.0181,0.0393,-0.0123,0.0177,-0.0065,0.0138,-0.0271,-0.0300,-0.0181,0.0393,-0.0123,0.0177,-0.0065,0.0138
1,D:/These Thien/20220111 test_compare_vba_python/70\Test-0001_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0001_1.tif,130.7331,130.7330,0.1241,0.0860,0.0403,0.6503,0.4615,0.3745,0.2604,0.2117,0.1241,0.0860,0.0403,0.6503,0.4615,0.3745,0.2604,0.2117
2,D:/These Thien/20220111 test_compare_vba_python/70\Test-0002_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0002_1.tif,130.7601,130.7599,0.9017,0.7560,0.6623,1.7905,1.5930,1.4728,1.3087,1.1895,0.9017,0.7560,0.6623,1.7905,1.5930,1.4728,1.3087,1.1895
3,D:/These Thien/20220111 test_compare_vba_python/70\Test-0003_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0003_1.tif,130.7870,130.7868,2.0084,1.8153,1.7573,3.0045,2.8266,2.6829,2.5024,2.3642,2.0084,1.8153,1.7573,3.0045,2.8266,2.6829,2.5024,2.3642
4,D:/These Thien/20220111 test_compare_vba_python/70\Test-0004_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0004_1.tif,130.8138,130.8139,3.2997,3.0886,2.9649,4.2904,4.0789,3.9352,3.7544,3.6084,3.2997,3.0886,2.9649,4.2904,4.0789,3.9352,3.7544,3.6084
5,D:/These Thien/20220111 test_compare_vba_python/70\Test-0005_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0005_1.tif,130.8408,130.8407,4.5475,4.3416,4.2394,5.5730,5.3638,5.2224,5.0438,4.8953,4.5475,4.3416,4.2394,5.5730,5.3638,5.2224,5.0438,4.8953
6,D:/These Thien/20220111 test_compare_vba_python/70\Test-0006_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0006_1.tif,130.8677,130.8676,5.7963,5.5752,5.5137,6.7647,6.5856,6.4599,6.2942,6.1499,5.7963,5.5752,5.5137,6.7647,6.5856,6.4599,6.2942,6.1499
7,D:/These Thien/20220111 test_compare_vba_python/70\Test-0007_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0007_1.tif,130.8947,130.8945,6.8447,6.6948,6.5914,7.1260,7.0687,7.0600,7.0036,6.9562,6.8447,6.6948,6.5914,7.1260,7.0687,7.0600,7.0036,6.9562
8,D:/These Thien/20220111 test_compare_vba_python/70\Test-0008_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0008_1.tif,130.9217,130.9215,7.0606,7.0258,7.0061,7.0851,7.0554,7.0844,7.0716,7.0783,7.0606,7.0258,7.0061,7.0851,7.0554,7.0844,7.0716,7.0783
9,D:/These Thien/20220111 test_compare_vba_python/70\Test-0009_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0009_1.tif,130.9484,130.9485,6.9794,6.9726,6.9907,6.7925,6.8002,6.8679,6.8901,6.9323,6.9794,6.9726,6.9907,6.7925,6.8002,6.8679,6.8901,6.9323
10,D:/These Thien/20220111 test_compare_vba_python/70\Test-0010_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0010_1.tif,130.9764,130.9763,6.6713,6.7145,6.6842,6.2552,6.2971,6.3883,6.4335,6.5044,6.6713,6.7145,6.6842,6.2552,6.2971,6.3883,6.4335,6.5044
11,D:/These Thien/20220111 test_compare_vba_python/70\Test-0011_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0011_1.tif,131.0033,131.0033,6.0519,6.1395,6.1698,5.5224,5.5836,5.7074,5.7818,5.8814,6.0519,6.1395,6.1698,5.5224,5.5836,5.7074,5.7818,5.8814
12,D:/These Thien/20220111 test_compare_vba_python/70\Test-0012_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0012_1.tif,131.0302,131.0303,5.2730,5.3809,5.4325,4.5678,4.6542,4.8063,4.9049,5.0345,5.2730,5.3809,5.4325,4.5678,4.6542,4.8063,4.9049,5.0345
13,D:/These Thien/20220111 test_compare_vba_python/70\Test-0013_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0013_1.tif,131.0571,131.0572,4.3361,4.4837,4.4873,3.4647,3.5672,3.7415,3.8601,4.0126,4.3361,4.4837,4.4873,3.4647,3.5672,3.7415,3.8601,4.0126
14,D:/These Thien/20220111 test_compare_vba_python/70\Test-0014_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0014_1.tif,131.0841,131.0841,3.1634,3.3435,3.4128,2.2414,2.3564,2.5527,2.6893,2.8630,3.1634,3.3435,3.4128,2.2414,2.3564,2.5527,2.6893,2.8630
15,D:/These Thien/20220111 test_compare_vba_python/70\Test-0015_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0015_1.tif,131.1110,131.1110,1.9652,2.1473,2.2149,0.9800,1.0973,1.2987,1.4402,1.6242,1.9652,2.1473,2.2149,0.9800,1.0973,1.2987,1.4402,1.6242
16,D:/These Thien/20220111 test_compare_vba_python/70\Test-0016_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0016_1.tif,131.1380,131.1380,0.7467,0.9465,0.9655,-0.2446,-0.1328,0.0619,0.1969,0.3806,0.7467,0.9465,0.9655,-0.2446,-0.1328,0.0619,0.1969,0.3806
17,D:/These Thien/20220111 test_compare_vba_python/70\Test-0017_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0017_1.tif,131.1648,131.1649,-0.3932,-0.2726,-0.2134,-0.9981,-0.9059,-0.7502,-0.6706,-0.5517,-0.3932,-0.2726,-0.2134,-0.9981,-0.9059,-0.7502,-0.6706,-0.5517
18,D:/These Thien/20220111 test_compare_vba_python/70\Test-0018_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0018_1.tif,131.1918,131.1917,-1.4318,-1.2140,-1.1792,-2.7154,-2.5653,-2.3174,-2.1286,-1.8882,-1.4318,-1.2140,-1.1792,-2.7154,-2.5653,-2.3174,-2.1286,-1.8882
19,D:/These Thien/20220111 test_compare_vba_python/70\Test-0019_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0019_1.tif,131.2187,131.2197,-2.9227,-2.6884,-2.6291,-3.8808,-3.7789,-3.5898,-3.4563,-3.2662,-2.9227,-2.6884,-2.6291,-3.8808,-3.7789,-3.5898,-3.4563,-3.2662
20,D:/These Thien/20220111 test_compare_vba_python/70\Test-0020_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0020_1.tif,131.2466,131.2467,-4.0745,-3.8988,-3.8166,-4.8566,-4.7747,-4.6068,-4.4953,-4.3329,-4.0745,-3.8988,-3.8166,-4.8566,-4.7747,-4.6068,-4.4953,-4.3329
21,D:/These Thien/20220111 test_compare_vba_python/70\Test-0021_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0021_1.tif,131.2735,131.2736,-4.9410,-4.7947,-4.7902,-5.6526,-5.5885,-5.4441,-5.3513,-5.2108,-4.9410,-4.7947,-4.7902,-5.6526,-5.5885,-5.4441,-5.3513,-5.2108
22,D:/These Thien/20220111 test_compare_vba_python/70\Test-0022_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0022_1.tif,131.3005,131.3005,-5.7564,-5.6201,-5.5862,-6.3278,-6.2736,-6.1450,-6.0674,-5.9446,-5.7564,-5.6201,-5.5862,-6.3278,-6.2736,-6.1450,-6.0674,-5.9446
23,D:/These Thien/20220111 test_compare_vba_python/70\Test-0023_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0023_1.tif,131.3275,131.3274,-6.3932,-6.2968,-6.2462,-6.8163,-6.7944,-6.6929,-6.6359,-6.5369,-6.3932,-6.2968,-6.2462,-6.8163,-6.7944,-6.6929,-6.6359,-6.5369
24,D:/These Thien/20220111 test_compare_vba_python/70\Test-0024_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0024_1.tif,131.3543,131.3546,-6.7909,-6.7219,-6.7487,-7.1183,-7.1151,-7.0403,-7.0058,-6.9330,-6.7909,-6.7219,-6.7487,-7.1183,-7.1151,-7.0403,-7.0058,-6.9330
25,D:/These Thien/20220111 test_compare_vba_python/70\Test-0025_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0025_1.tif,131.3813,131.3812,-7.1238,-7.0700,-7.0571,-7.2733,-7.2930,-7.2398,-7.2260,-7.1737,-7.1238,-7.0700,-7.0571,-7.2733,-7.2930,-7.2398,-7.2260,-7.1737
26,D:/These Thien/20220111 test_compare_vba_python/70\Test-0026_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0026_1.tif,131.4083,131.4082,-7.2318,-7.2240,-7.2108,-7.2530,-7.2898,-7.2582,-7.2675,-7.2392,-7.2318,-7.2240,-7.2108,-7.2530,-7.2898,-7.2582,-7.2675,-7.2392
27,D:/These Thien/20220111 test_compare_vba_python/70\Test-0027_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0027_1.tif,131.4351,131.4352,-7.1609,-7.1631,-7.2182,-7.1628,-7.2131,-7.1915,-7.2092,-7.1902,-7.1609,-7.1631,-7.2182,-7.1628,-7.2131,-7.1915,-7.2092,-7.1902
28,D:/These Thien/20220111 test_compare_vba_python/70\Test-0028_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0028_1.tif,131.4621,131.4620,-7.0606,-7.0848,-7.0925,-6.7532,-6.8653,-6.8879,-6.9465,-6.9639,-7.0606,-7.0848,-7.0925,-6.7532,-6.8653,-6.8879,-6.9465,-6.9639
29,D:/These Thien/20220111 test_compare_vba_python/70\Test-0029_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0029_1.tif,131.4890,131.4900,-6.6030,-6.6897,-6.7197,-6.1293,-6.2598,-6.3123,-6.4019,-6.4512,-6.6030,-6.6897,-6.7197,-6.1293,-6.2598,-6.3123,-6.4019,-6.4512
30,D:/These Thien/20220111 test_compare_vba_python/70\Test-0030_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0030_1.tif,131.5170,131.5169,-5.8972,-6.0074,-6.1070,-5.2839,-5.4464,-5.5244,-5.6436,-5.7193,-5.8972,-6.0074,-6.1070,-5.2839,-5.4464,-5.5244,-5.6436,-5.7193
31,D:/These Thien/20220111 test_compare_vba_python/70\Test-0031_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0031_1.tif,131.5438,131.5439,-5.0819,-5.2208,-5.2727,-4.2556,-4.4348,-4.5421,-4.6887,-4.7896,-5.0819,-5.2208,-5.2727,-4.2556,-4.4348,-4.5421,-4.6887,-4.7896
32,D:/These Thien/20220111 test_compare_vba_python/70\Test-0032_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0032_1.tif,131.5708,131.5707,-3.9984,-4.1805,-4.2646,-3.0732,-3.2804,-3.4041,-3.5720,-3.6919,-3.9984,-4.1805,-4.2646,-3.0732,-3.2804,-3.4041,-3.5720,-3.6919
33,D:/These Thien/20220111 test_compare_vba_python/70\Test-0033_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0033_1.tif,131.5978,131.5977,-2.8008,-2.9862,-3.1183,-1.8112,-2.0364,-2.1760,-2.3571,-2.4895,-2.8008,-2.9862,-3.1183,-1.8112,-2.0364,-2.1760,-2.3571,-2.4895
34,D:/These Thien/20220111 test_compare_vba_python/70\Test-0034_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0034_1.tif,131.6247,131.6246,-1.5991,-1.7976,-1.8676,-0.5550,-0.7699,-0.9027,-1.0825,-1.2182,-1.5991,-1.7976,-1.8676,-0.5550,-0.7699,-0.9027,-1.0825,-1.2182
35,D:/These Thien/20220111 test_compare_vba_python/70\Test-0035_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0035_1.tif,131.6517,131.6515,-0.3477,-0.5443,-0.6468,0.2701,0.1772,0.1305,0.0116,-0.0799,-0.3477,-0.5443,-0.6468,0.2701,0.1772,0.1305,0.0116,-0.0799
36,D:/These Thien/20220111 test_compare_vba_python/70\Test-0036_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0036_1.tif,131.6785,131.6786,0.3126,0.2265,0.1463,1.1141,0.8608,0.7228,0.5678,0.4821,0.3126,0.2265,0.1463,1.1141,0.8608,0.7228,0.5678,0.4821
37,D:/These Thien/20220111 test_compare_vba_python/70\Test-0037_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0037_1.tif,131.7055,131.7054,1.5195,1.2684,1.1859,2.9104,2.6577,2.4670,2.2282,2.0222,1.5195,1.2684,1.1859,2.9104,2.6577,2.4670,2.2282,2.0222
38,D:/These Thien/20220111 test_compare_vba_python/70\Test-0038_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0038_1.tif,131.7324,131.7323,3.1399,2.8923,2.7680,4.0625,3.8875,3.7738,3.6104,3.4705,3.1399,2.8923,2.7680,4.0625,3.8875,3.7738,3.6104,3.4705
39,D:/These Thien/20220111 test_compare_vba_python/70\Test-0039_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0039_1.tif,131.7592,131.7602,4.2407,4.0719,3.9658,4.9623,4.8086,4.7209,4.5891,4.4853,4.2407,4.0719,3.9658,4.9623,4.8086,4.7209,4.5891,4.4853
40,D:/These Thien/20220111 test_compare_vba_python/70\Test-0040_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0040_1.tif,131.7872,131.7872,5.0448,4.9033,4.8724,5.6484,5.5217,5.4576,5.3516,5.2726,5.0448,4.9033,4.8724,5.6484,5.5217,5.4576,5.3516,5.2726
41,D:/These Thien/20220111 test_compare_vba_python/70\Test-0041_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0041_1.tif,131.8142,131.8141,5.7747,5.6455,5.5698,6.2417,6.1267,6.0757,5.9832,5.9156,5.7747,5.6455,5.5698,6.2417,6.1267,6.0757,5.9832,5.9156
42,D:/These Thien/20220111 test_compare_vba_python/70\Test-0042_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0042_1.tif,131.8411,131.8410,6.3078,6.2166,6.1508,6.6474,6.5627,6.5359,6.4673,6.4219,6.3078,6.2166,6.1508,6.6474,6.5627,6.5359,6.4673,6.4219
43,D:/These Thien/20220111 test_compare_vba_python/70\Test-0043_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0043_1.tif,131.8679,131.8680,6.6336,6.5611,6.5608,6.9107,6.7889,6.7912,6.7493,6.7274,6.6336,6.5611,6.5608,6.9107,6.7889,6.7912,6.7493,6.7274
44,D:/These Thien/20220111 test_compare_vba_python/70\Test-0044_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0044_1.tif,131.8949,131.8949,6.8901,6.8350,6.7802,6.9620,6.9127,6.9246,6.8966,6.8901,6.8901,6.8350,6.7802,6.9620,6.9127,6.9246,6.8966,6.8901
45,D:/These Thien/20220111 test_compare_vba_python/70\Test-0045_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0045_1.tif,131.9218,131.9219,6.9159,6.9014,6.8743,6.9046,6.8734,6.9046,6.8940,6.9059,6.9159,6.9014,6.8743,6.9046,6.8734,6.9046,6.8940,6.9059
46,D:/These Thien/20220111 test_compare_vba_python/70\Test-0046_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0046_1.tif,131.9488,131.9487,6.8199,6.8099,6.8315,6.7203,6.7061,6.7609,6.7696,6.7996,6.8199,6.8099,6.8315,6.7203,6.7061,6.7609,6.7696,6.7996
47,D:/These Thien/20220111 test_compare_vba_python/70\Test-0047_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0047_1.tif,131.9757,131.9757,6.5504,6.5943,6.5627,6.1257,6.1885,6.2797,6.3265,6.3961,6.5504,6.5943,6.5627,6.1257,6.1885,6.2797,6.3265,6.3961
48,D:/These Thien/20220111 test_compare_vba_python/70\Test-0048_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0048_1.tif,132.0026,132.0027,5.9136,6.0019,6.0529,5.3851,5.4454,5.5704,5.6458,5.7489,5.9136,6.0019,6.0529,5.3851,5.4454,5.5704,5.6458,5.7489
49,D:/These Thien/20220111 test_compare_vba_python/70\Test-0049_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0049_1.tif,132.0305,132.0295,5.1653,5.2710,5.3013,4.4589,4.5388,4.6877,4.7850,4.9127,5.1653,5.2710,5.3013,4.4589,4.5388,4.6877,4.7850,4.9127
50,D:/These Thien/20220111 test_compare_vba_python/70\Test-0050_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0050_1.tif,132.0575,132.0574,4.2130,4.3671,4.3748,3.3374,3.4421,3.6210,3.7425,3.8978,4.2130,4.3671,4.3748,3.3374,3.4421,3.6210,3.7425,3.8978
51,D:/These Thien/20220111 test_compare_vba_python/70\Test-0051_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0051_1.tif,132.0844,132.0844,3.0283,3.2056,3.2904,2.1205,2.2417,2.4331,2.5649,2.7370,3.0283,3.2056,3.2904,2.1205,2.2417,2.4331,2.5649,2.7370
52,D:/These Thien/20220111 test_compare_vba_python/70\Test-0052_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0052_1.tif,132.1113,132.1114,1.8704,2.0506,2.0928,0.8672,0.9874,1.1885,1.3284,1.5118,1.8704,2.0506,2.0928,0.8672,0.9874,1.1885,1.3284,1.5118
53,D:/These Thien/20220111 test_compare_vba_python/70\Test-0053_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0053_1.tif,132.1384,132.1382,0.6271,0.8302,0.8604,-0.3323,-0.2311,-0.0374,0.0963,0.2784,0.6271,0.8302,0.8604,-0.3323,-0.2311,-0.0374,0.0963,0.2784
54,D:/These Thien/20220111 test_compare_vba_python/70\Test-0054_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0054_1.tif,132.1652,132.1652,-0.3871,-0.2620,-0.1998,-0.9356,-0.8328,-0.6961,-0.6326,-0.5279,-0.3871,-0.2620,-0.1998,-0.9356,-0.8328,-0.6961,-0.6326,-0.5279
55,D:/These Thien/20220111 test_compare_vba_python/70\Test-0055_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0055_1.tif,132.1922,132.1921,-1.2726,-1.0812,-1.0500,-2.5975,-2.4235,-2.1557,-1.9536,-1.7100,-1.2726,-1.0812,-1.0500,-2.5975,-2.4235,-2.1557,-1.9536,-1.7100
56,D:/These Thien/20220111 test_compare_vba_python/70\Test-0056_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0056_1.tif,132.2190,132.2191,-2.8034,-2.5579,-2.5040,-3.8012,-3.7006,-3.5082,-3.3706,-3.1744,-2.8034,-2.5579,-2.5040,-3.8012,-3.7006,-3.5082,-3.3706,-3.1744
57,D:/These Thien/20220111 test_compare_vba_python/70\Test-0057_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0057_1.tif,132.2460,132.2459,-3.9903,-3.8115,-3.7267,-4.7673,-4.6752,-4.5121,-4.4025,-4.2414,-3.9903,-3.8115,-3.7267,-4.7673,-4.6752,-4.5121,-4.4025,-4.2414
58,D:/These Thien/20220111 test_compare_vba_python/70\Test-0058_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0058_1.tif,132.2729,132.2729,-4.8569,-4.7129,-4.7000,-5.5569,-5.4982,-5.3574,-5.2659,-5.1244,-4.8569,-4.7129,-4.7000,-5.5569,-5.4982,-5.3574,-5.2659,-5.1244
59,D:/These Thien/20220111 test_compare_vba_python/70\Test-0059_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0059_1.tif,132.2998,132.3008,-5.6426,-5.5102,-5.4915,-6.1895,-6.1499,-6.0290,-5.9556,-5.8373,-5.6426,-5.5102,-5.4915,-6.1895,-6.1499,-6.0290,-5.9556,-5.8373
60,D:/These Thien/20220111 test_compare_vba_python/70\Test-0060_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0060_1.tif,132.3277,132.3278,-6.2788,-6.1831,-6.1280,-6.6826,-6.6613,-6.5627,-6.5079,-6.4103,-6.2788,-6.1831,-6.1280,-6.6826,-6.6613,-6.5627,-6.5079,-6.4103
61,D:/These Thien/20220111 test_compare_vba_python/70\Test-0061_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0061_1.tif,132.3548,132.3546,-6.6742,-6.6082,-6.6278,-6.9833,-6.9794,-6.9095,-6.8811,-6.8118,-6.6742,-6.6082,-6.6278,-6.9833,-6.9794,-6.9095,-6.8811,-6.8118
62,D:/These Thien/20220111 test_compare_vba_python/70\Test-0062_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0062_1.tif,132.3816,132.3817,-6.9762,-6.9243,-6.9240,-7.1267,-7.1447,-7.0925,-7.0806,-7.0307,-6.9762,-6.9243,-6.9240,-7.1267,-7.1447,-7.0925,-7.0806,-7.0307
63,D:/These Thien/20220111 test_compare_vba_python/70\Test-0063_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0063_1.tif,132.4086,132.4085,-7.0993,-7.0880,-7.0674,-7.1170,-7.1679,-7.1338,-7.1380,-7.1048,-7.0993,-7.0880,-7.0674,-7.1170,-7.1679,-7.1338,-7.1380,-7.1048
64,D:/These Thien/20220111 test_compare_vba_python/70\Test-0064_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0064_1.tif,132.4354,132.4356,-7.0278,-7.0323,-7.0864,-7.0210,-7.0700,-7.0526,-7.0722,-7.0551,-7.0278,-7.0323,-7.0864,-7.0210,-7.0700,-7.0526,-7.0722,-7.0551
65,D:/These Thien/20220111 test_compare_vba_python/70\Test-0065_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0065_1.tif,132.4623,132.4624,-6.9111,-6.9343,-6.9546,-6.6359,-6.7274,-6.7474,-6.8047,-6.8225,-6.9111,-6.9343,-6.9546,-6.6359,-6.7274,-6.7474,-6.8047,-6.8225
66,D:/These Thien/20220111 test_compare_vba_python/70\Test-0066_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0066_1.tif,132.4893,132.4894,-6.4809,-6.5630,-6.5843,-5.9968,-6.1254,-6.1782,-6.2704,-6.3197,-6.4809,-6.5630,-6.5843,-5.9968,-6.1254,-6.1782,-6.2704,-6.3197
67,D:/These Thien/20220111 test_compare_vba_python/70\Test-0067_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0067_1.tif,132.5163,132.5162,-5.7667,-5.8792,-5.9778,-5.1547,-5.3149,-5.3964,-5.5166,-5.5924,-5.7667,-5.8792,-5.9778,-5.1547,-5.3149,-5.3964,-5.5166,-5.5924
68,D:/These Thien/20220111 test_compare_vba_python/70\Test-0068_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0068_1.tif,132.5432,132.5431,-4.9552,-5.0899,-5.1502,-4.1386,-4.3261,-4.4290,-4.5737,-4.6723,-4.9552,-5.0899,-5.1502,-4.1386,-4.3261,-4.4290,-4.5737,-4.6723
